chinese,chinese_tw,english,vietnamese,category,subcategory,notes
千帆城,千帆城,Thousand Sails City,Thiên Phàm Thành,sect,name,Artifact crafting and commerce
妙化宗,妙化宗,Mystic Harmony Sect,Diệu Hóa Tông,sect,name,Sound-based cultivation
回玄宗,回玄宗,Returning Mystery Sect,Hồi Huyền Tông,sect,name,Formation specialists
不夜城,不夜城,Nightless City,Bất Dạ Thành,sect,name,Defense and longevity
天行健宗,天行健宗,Heavenly Vigor Sect,Thiên Hành Kiện Tông,sect,name,Righteous qi cultivation
噬魔宗,噬魔宗,Demon Devouring Sect,Phệ Ma Tông,sect,name,Demonic cultivation - plunder
掌门,掌門,Sect Master,Chưởng Môn,sect,rank,Also: Sect Leader
长老,長老,Elder,Trưởng Lão,sect,rank,
内门弟子,內門弟子,Inner Disciple,Nội Môn Đệ Tử,sect,rank,
外门弟子,外門弟子,Outer Disciple,Ngoại Môn Đệ Tử,sect,rank,
弟子,弟子,Disciple,Đệ Tử,sect,rank,Generic
谷主,谷主,Valley Master,Cốc Chủ,sect,rank,Hundred Beasts Sect
供奉,供奉,Grand Elder,Cung Phụng,sect,rank,Honorary position
镜主,鏡主,Mirror Master,Kính Chủ,sect,rank,Water Mirror Sect
殿主,殿主,Hall Master,Điện Chủ,sect,rank,Underworld King Sect
楼主,樓主,Tower Master,Lâu Chủ,sect,rank,Crimson Hook Sect
宫主,宮主,Palace Master,Cung Chủ,sect,rank,Joy Union Sect
住持,住持,Abbot,Trụ Trì,sect,rank,Soul Suppression Sect
门主,門主,Gate Master,Môn Chủ,sect,rank,Phantom Shadow Sect
城主,城主,City Lord,Thành Chủ,sect,rank,Thousand Sails City / Nightless City
连霞山,連霞山,Lianxia Mountain,Liên Hà Sơn,sect,headquarters,Bright Heart Sword Sect
玄灵洞,玄靈洞,Mysterious Spirit Cave,Huyền Linh Động,sect,headquarters,Hundred Beasts Sect
碧波湖,碧波湖,Azure Wave Lake,Bích Ba Hồ,sect,headquarters,Water Mirror Sect
七鬼角,七鬼角,Seven Ghost Horns,Thất Quỷ Giác,sect,headquarters,Underworld King Sect - Island archipelago
明玉山,明玉山,Bright Jade Mountain,Minh Ngọc Sơn,sect,headquarters,Crimson Hook Sect
桃花岛,桃花島,Peach Blossom Island,Đào Hoa Đảo,sect,headquarters,Joy Union Sect
落魂海,落魂海,Soul-Calming Sea,Lạc Hồn Hải,sect,headquarters,Soul Suppression Sect
鬼门湖,鬼門湖,Ghost Gate Lake,Quỷ Môn Hồ,sect,headquarters,Phantom Shadow Sect
天星海,天星海,Celestial Star Sea,Thiên Tinh Hải,sect,headquarters,Thousand Sails City - Floating island
心园,心園,Heart Garden,Tâm Viên,sect,headquarters,Mystic Harmony Sect
诸隐山,諸隱山,Hidden Mountains,Chư Ẩn Sơn,sect,headquarters,Returning Mystery Sect
大千光极城,大千光極城,Great Aurora City,Đại Thiên Quang Cực Thành,sect,headquarters,Nightless City
浩然峰,浩然峰,Haoran Peak,Hạo Nhiên Phong,sect,headquarters,Heavenly Vigor Sect
陷空山,陷空山,Sinking Void Mountain,Hãm Không Sơn,sect,headquarters,Demon Devouring Sect
青云城,青雲城,Azure Cloud City,Thanh Vân Thành,geography,city,
沙州城,沙州城,Sand State City,Sa Châu Thành,geography,city,
翠林城,翠林城,Emerald Forest City,Thúy Lâm Thành,geography,city,
沧澜城,滄瀾城,Azure Wave City,Thương Lan Thành,geography,city,
揽月城,攬月城,Moon Embrace City,Lãm Nguyệt Thành,geography,city,
平原地带,平原地帶,Plains,Bình Nguyên Địa Đới,geography,region,
西域流沙,西域流沙,Western Desert,Tây Vực Lưu Sa,geography,region,
南疆蛮荒,南疆蠻荒,Southern Wilderness,Nam Cương Man Hoang,geography,region,
极北冰原,極北冰原,Northern Glacier,Cực Bắc Băng Nguyên,geography,region,
无边碧海,無邊碧海,Endless Azure Sea,Vô Biên Bích Hải,geography,region,
天河奔流,天河奔流,Heavenly River,Thiên Hà Bôn Lưu,geography,region,
青峰山脉,青峰山脈,Azure Peak Mountains,Thanh Phong Sơn Mạch,geography,region,
万丈雪峰,萬丈雪峰,Ten Thousand Zhang Snow Peaks,Vạn Trượng Tuyết Phong,geography,region,
碧野千里,碧野千里,Thousand Li Grasslands,Bích Dã Thiên Lý,geography,region,
青云林海,青雲林海,Azure Cloud Forest Sea,Thanh Vân Lâm Hải,geography,region,
炎狱火山,炎獄火山,Inferno Volcano,Viêm Ngục Hỏa Sơn,geography,region,
沃土良田,沃土良田,Fertile Farmlands,Ốc Thổ Lương Điền,geography,region,
幽冥毒泽,幽冥毒澤,Netherworld Poison Marsh,U Minh Độc Trạch,geography,region,
十万大山,十萬大山,Hundred Thousand Mountains,Thập Vạn Đại Sơn,geography,region,
紫竹幽境,紫竹幽境,Purple Bamboo Sanctuary,Tử Trúc U Cảnh,geography,region,
凛霜荒原,凜霜荒原,Frost Desolation,Lẫm Sương Hoang Nguyên,geography,region,
碎星戈壁,碎星戈壁,Shattered Star Gobi,Toái Tinh Qua Bích,geography,region,
蓬莱遗岛,蓬萊遺島,Penglai Remnant Isle,Bồng Lai Di Đảo,geography,region,
灵兔,靈兔,Spirit Rabbit,Linh Thỏ,creature,beast,Qi Refinement
魔狼,魔狼,Demonic Wolf,Ma Lang,creature,beast,Foundation
青云鹿,青雲鹿,Azure Cloud Deer,Thanh Vân Lộc,creature,beast,Qi Refinement
暗影豹,暗影豹,Shadow Leopard,Ám Ảnh Báo,creature,beast,Foundation
碧海龙龟,碧海龍龜,Azure Sea Dragon Turtle,Bích Hải Long Quy,creature,beast,Core
石甲山熊,石甲山熊,Stone Armor Mountain Bear,Thạch Giáp Sơn Hùng,creature,beast,Foundation
风速马,風速馬,Wind Speed Horse,Phong Tốc Mã,creature,beast,Qi Refinement
熔岩蜥蜴,熔岩蜥蜴,Lava Lizard,Dung Nham Tích Dịch,creature,beast,Foundation
毒瘴蛙,毒瘴蛙,Miasma Poison Frog,Độc Chướng Oa,creature,beast,Foundation
撼地神牛,撼地神牛,Earth-Shaking Divine Bull,Hám Địa Thần Ngưu,creature,beast,Core
冰魄骨蛇,冰魄骨蛇,Ice Soul Bone Serpent,Băng Phách Cốt Xà,creature,beast,Core
奇草,奇草,Wonder Grass,Kỳ Thảo,creature,plant,Qi Refinement
灵木,靈木,Spirit Wood,Linh Mộc,creature,plant,Foundation
沙漠仙人掌,沙漠仙人掌,Desert Immortal Cactus,Sa Mạc Tiên Nhân Chưởng,creature,plant,Qi Refinement
寒霜雪莲,寒霜雪蓮,Frost Snow Lotus,Hàn Sương Tuyết Liên,creature,plant,Foundation
水灵芝,水靈芝,Water Spirit Mushroom,Thủy Linh Chi,creature,plant,Foundation
雪绒花,雪絨花,Snow Velvet Flower,Tuyết Nhung Hoa,creature,plant,Qi Refinement
千年古松,千年古松,Millennial Ancient Pine,Thiên Niên Cổ Tùng,creature,plant,Foundation
五谷灵稀,五穀靈稀,Five Grain Spirit Rice,Ngũ Cốc Linh Mễ,creature,plant,Qi Refinement
九曲清音竹,九曲清音竹,Nine Curve Pure Sound Bamboo,Cửu Khúc Thanh Âm Trúc,creature,plant,Core
聚星草,聚星草,Star Gathering Grass,Tụ Tinh Thảo,creature,plant,Core
涅盘赤果,涅盤赤果,Nirvana Crimson Fruit,Niết Bàn Xích Quả,creature,plant,Nascent
玄铁矿脉,玄鐵礦脈,Black Iron Vein,Huyền Thiết Khoáng Mạch,resource,mine,Qi Refinement
赤铜矿脉,赤銅礦脈,Red Copper Vein,Xích Đồng Khoáng Mạch,resource,mine,Foundation
秘银矿床,秘銀礦床,Mithril Deposit,Bí Ngân Khoáng Sàng,resource,mine,Core
庚金矿洞,庚金礦洞,Geng Metal Cave,Canh Kim Khoáng Động,resource,mine,Nascent
灵兔毛,靈兔毛,Spirit Rabbit Fur,Linh Thỏ Mao,material,beast,Qi Refinement
魔狼牙,魔狼牙,Demonic Wolf Fang,Ma Lang Nha,material,beast,Foundation
青云鹿角,青雲鹿角,Azure Cloud Deer Antler,Thanh Vân Lộc Giác,material,beast,Qi Refinement
暗影豹爪,暗影豹爪,Shadow Leopard Claw,Ám Ảnh Báo Trảo,material,beast,Foundation
龙龟甲片,龍龜甲片,Dragon Turtle Shell Fragment,Long Quy Giáp Phiến,material,beast,Core
山熊胆,山熊膽,Mountain Bear Gallbladder,Sơn Hùng Đảm,material,beast,Foundation
风速马鬃,風速馬鬃,Wind Speed Horse Mane,Bờm Phong Tốc Mã,material,beast,Foundation
熔岩鳞片,熔岩鱗片,Lava Lizard Scale,Dung Nham Lân Phiến,material,beast,Core
毒瘴囊,毒瘴囊,Miasma Poison Sac,Độc Chướng Nang,material,beast,Foundation
神牛角,神牛角,Divine Bull Horn,Thần Ngưu Giác,material,beast,Core
冰魄蛇胆,冰魄蛇膽,Ice Soul Serpent Gallbladder,Băng Phách Xà Đảm,material,beast,Core
奇草精华,奇草精華,Wonder Grass Essence,Kỳ Thảo Tinh Hoa,material,plant,Qi Refinement
灵木心,靈木心,Spirit Wood Heart,Linh Mộc Tâm,material,plant,Foundation
仙人掌刺,仙人掌刺,Immortal Cactus Spine,Tiên Nhân Chưởng Thích,material,plant,Qi Refinement
雪莲花瓣,雪蓮花瓣,Snow Lotus Petal,Tuyết Liên Hoa Biện,material,plant,Foundation
灵芝孢子,靈芝孢子,Spirit Mushroom Spore,Linh Chi Bào Tử,material,plant,Foundation
雪绒花蕊,雪絨花蕊,Snow Velvet Flower Stamen,Tuyết Nhung Hoa Nhị,material,plant,Qi Refinement
古松松脂,古鬆鬆脂,Ancient Pine Resin,Cổ Tùng Tùng Chi,material,plant,Core
灵稻精华,靈稻精華,Spirit Rice Essence,Linh Đạo Tinh Hoa,material,plant,Qi Refinement
清音竹节,清音竹節,Pure Sound Bamboo Section,Thanh Âm Trúc Tiết,material,plant,Core
星纹叶,星紋葉,Star Pattern Leaf,Tinh Văn Diệp,material,plant,Foundation
赤果核,赤果核,Crimson Fruit Pit,Xích Quả Hạch,material,plant,Core
玄铁,玄鐵,Black Iron,Huyền Thiết,material,mineral,Qi Refinement
赤精铜,赤精銅,Crimson Essence Copper,Xích Tinh Đồng,material,mineral,Foundation
秘银,秘銀,Mithril,Bí Ngân,material,mineral,Core
庚金,庚金,Geng Metal,Canh Kim,material,mineral,Nascent
太白金府,太白金府,Taibai Metal Palace,Thái Bạch Kim Phủ,geography,cave,Metal element
青木洞天,青木洞天,Verdant Wood Grotto,Thanh Mộc Động Thiên,geography,cave,Wood element
玄水秘境,玄水秘境,Mystic Water Secret Realm,Huyền Thủy Bí Cảnh,geography,cave,Water element
离火洞府,離火洞府,Departing Fire Cave Dwelling,Ly Hỏa Động Phủ,geography,cave,Fire element
厚土玄宫,厚土玄宮,Thick Earth Mystery Palace,Hậu Thổ Huyền Cung,geography,cave,Earth element
古越遗迹,古越遺蹟,Ancient Yue Ruins,Cổ Việt Di Tích,geography,cave,Wood/Metal
沧海遗迹,滄海遺蹟,Azure Sea Ruins,Thương Hải Di Tích,geography,cave,Water
紫气东来,紫氣東來,Purple Qi from the East,Tử Khí Đông Lai,event,celestial,R
金煞之年,金煞之年,Year of Metal Killing,Kim Sát Chi Niên,event,celestial,R
木灵盛世,木靈盛世,Era of Wood Spirit Prosperity,Mộc Linh Thịnh Thế,event,celestial,R
水德之纪,水德之紀,Age of Water Virtue,Thủy Đức Chi Kỷ,event,celestial,R
火劫时代,火劫時代,Era of Fire Tribulation,Hỏa Kiếp Thời Đại,event,celestial,R
土厚之世,土厚之世,Age of Thick Earth,Thổ Hậu Chi Thế,event,celestial,R
五行逆乱,五行逆亂,Five Elements in Chaos,Ngũ Hành Nghịch Loạn,event,celestial,SR
天道均衡,天道均衡,Heavenly Dao Balance,Thiên Đạo Cân Bằng,event,celestial,SR
劫数将至,劫數將至,Tribulation Approaches,Kiếp Số Sắp Đến,event,celestial,SR
灵气复苏,靈氣復甦,Spiritual Energy Revival,Linh Khí Phục Tô,event,celestial,SSR
灵气枯竭,靈氣枯竭,Spiritual Energy Depletion,Linh Khí Khô Kiệt,event,celestial,R
魔道兴盛,魔道興盛,Demonic Path Ascendant,Ma Đạo Hưng Thịnh,event,celestial,R
正气浩然,正氣浩然,Righteous Qi Flourishing,Chính Khí Hạo Nhiên,event,celestial,R
神兵出世,神兵出世,Divine Weapons Emerge,Thần Binh Xuất Thế,event,celestial,SR
阴阳交泰,陰陽交泰,Yin-Yang Harmony,Âm Dương Giao Thái,event,celestial,R
杀劫降临,殺劫降臨,Killing Tribulation Descends,Sát Kiếp Giáng Lâm,event,celestial,SR
太平盛世,太平盛世,Era of Great Peace,Thái Bình Thịnh Thế,event,celestial,R
气运加身,氣運加身,Fortune Bestowed,Khí Vận Gia Thân,event,celestial,R
血月当空,血月當空,Blood Moon Rises,Huyết Nguyệt Đương Không,event,celestial,SR
飞升之门,飛昇之門,Gate of Ascension,Phi Thăng Chi Môn,event,celestial,SSR
法则显化,法則顯化,Laws Manifest,Pháp Tắc Hiển Hóa,event,celestial,SSR
时空乱流,時空亂流,Spacetime Turbulence,Thời Không Loạn Lưu,event,celestial,SSR
生命恢复速率,生命恢復速率,HP Recovery Rate,Tốc Độ Hồi Phục Sinh Mệnh,effect,,extra_hp_recovery_rate
最大生命值,最大生命值,Max HP,Sinh Mệnh Tối Đa,effect,,extra_max_hp
最大寿元,最大壽元,Max Lifespan,Thọ Nguyên Tối Đa,effect,,extra_max_lifespan
兵器熟练度获取,兵器熟練度獲取,Weapon Proficiency Gain,Nhận Độ Thuần Thục Binh Khí,effect,,extra_weapon_proficiency_gain
双修经验,雙修經驗,Dual Cultivation Experience,Kinh Nghiệm Song Tu,effect,,extra_dual_cultivation_exp
突破成功率,突破成功率,Breakthrough Success Rate,Tỷ Lệ Đột Phá Thành Công,effect,,extra_breakthrough_success_rate
奇遇概率,奇遇概率,Fortune Probability,Xác Suất Kỳ Ngộ,effect,,extra_fortune_probability
霉运概率,黴運概率,Misfortune Probability,Xác Suất Xui Rủi,effect,,extra_misfortune_probability
采集获取材料,採集獲取材料,Harvest Material Bonus,Thưởng Nguyên Liệu Thu Thập,effect,,extra_harvest_materials
狩猎获取材料,狩獵獲取材料,Hunt Material Bonus,Thưởng Nguyên Liệu Săn Bắn,effect,,extra_hunt_materials
挖矿获取材料,挖礦獲取材料,Mining Material Bonus,Thưởng Nguyên Liệu Khai Khoáng,effect,,extra_mine_materials
物品出售价格,物品出售價格,Item Sell Price,Giá Bán Vật Phẩm,effect,,extra_item_sell_price_multiplier
购买折扣,購買折扣,Purchase Discount,Chiết Khấu Mua Hàng,effect,,shop_buy_price_reduction
兵器升级概率,兵器升級概率,Weapon Upgrade Chance,Xác Suất Nâng Cấp Binh Khí,effect,,extra_weapon_upgrade_chance
搜刮收益,搜刮收益,Plunder Multiplier,Lợi Tức Cướp Đoạt,effect,,extra_plunder_multiplier
捕捉灵兽成功率,捕捉靈獸成功率,Beast Capture Success Rate,Tỷ Lệ Bắt Linh Thú Thành Công,effect,,extra_catch_success_rate
修炼经验,修煉經驗,Cultivation Experience,Kinh Nghiệm Tu Luyện,effect,,extra_respire_exp
战力点数,戰力點數,Combat Power Points,Điểm Chiến Lực,effect,,extra_battle_strength_points
逃跑成功率,逃跑成功率,Escape Success Rate,Tỷ Lệ Chạy Trốn Thành Công,effect,,extra_escape_success_rate
暗杀成功率,暗殺成功率,Assassination Success Rate,Tỷ Lệ Ám Sát Thành Công,effect,,extra_assassinate_success_rate
感知范围,感知範圍,Observation Radius,Phạm Vi Cảm Tri,effect,,extra_observation_radius
移动步长,移動步長,Movement Range,Cự Ly Di Chuyển,effect,,extra_move_step
特殊能力,特殊能力,Special Abilities,Năng Lực Đặc Biệt,effect,,legal_actions
伤害减免,傷害減免,Damage Reduction,Giảm Miễn Sát Thương,effect,,damage_reduction
境界压制,境界壓制,Realm Suppression,Áp Chế Cảnh Giới,effect,,realm_suppression_bonus
修炼时长缩减,修煉時長縮減,Cultivation Duration Reduction,Rút Ngắn Thời Gian Tu Luyện,effect,,respire_duration_reduction
铸造成功率,鑄造成功率,Forging Success Rate,Tỷ Lệ Chú Tạo Thành Công,effect,,extra_cast_success_rate
炼丹成功率,煉丹成功率,Alchemy Success Rate,Tỷ Lệ Luyện Đan Thành Công,effect,,extra_refine_success_rate
自愈效率,自癒效率,Self-Heal Efficiency,Hiệu Suất Tự Chữa Lành,effect,,extra_self_heal_efficiency
理性,理性,Rational,Lý Tính,persona,basic,Logical thinking
无常,無常,Fickle,Vô Thường,persona,basic,Unpredictable goals
怠惰,怠惰,Slothful,Lười Biếng,persona,basic,Lazy - avoids effort
冒险,冒險,Adventurous,Mạo Hiểm,persona,basic,Risk-taking
随性,隨性,Carefree,Tùy Hứng,persona,basic,Goes with the flow
贪财,貪財,Greedy,Tham Tài,persona,basic,Desires wealth
沉思,沉思,Contemplative,Trầm Tư,persona,basic,Deep thinker
惜命,惜命,Life-Cherishing,Tích Mệnh,persona,basic,Values own life
友爱,友愛,Friendly,Hữu Ái,persona,basic,Values harmony
复仇,復仇,Vengeful,Phục Thù,persona,basic,Seeks revenge
孤僻,孤僻,Reclusive,Cô Lập,persona,basic,Prefers solitude
淡漠,淡漠,Indifferent,Đạm Mạc,persona,basic,Emotionally detached
好斗,好鬥,Combative,Hiếu Đấu,persona,basic,Enjoys fighting
鲁莽,魯莽,Reckless,Lỗ Mãng,persona,basic,Acts without thinking
胆小,膽小,Timid,Nhát Gan,persona,basic,Avoids conflict
霸道,霸道,Domineering,Bá Đạo,persona,basic,Forceful - selfish
内向,內向,Introverted,Hướng Nội,persona,basic,Prefers self-reflection
外向,外向,Extroverted,Hướng Ngoại,persona,basic,Social - outgoing
刻薄,刻薄,Caustic,Cay Nghiệt,persona,basic,Sharp-tongued
热情,熱情,Enthusiastic,Nhiệt Tình,persona,basic,Warm and friendly
开放,開放,Open-minded,Phóng Khoáng,persona,basic,Casual about relationships
腼腆,靦腆,Shy,Thẹn Thùng,persona,basic,Reserved about relationships
嫉妒,嫉妒,Envious,Tật Đố,persona,basic,Jealous of others
好色,好色,Lustful,Háo Sắc,persona,basic,Attracted to beauty
无欲,無慾,Ascetic,Vô Dục,persona,basic,No worldly desires
情绪化,情緒化,Emotional,Cảm Tính,persona,basic,Mood swings
妒忌,妒忌,Jealous,Đố Kỵ,persona,basic,Envious of success
采集者,採集者,Gatherer,Thu Thập Giả,persona,advanced,Bonus to herb gathering
猎人,獵人,Hunter,Liệp Nhân,persona,advanced,Bonus to beast hunting
修行痴迷,修行痴迷,Cultivation Maniac,Tu Hành Si Mê,persona,advanced,Obsessed with training
舔狗,舔狗,Simp,Liếm Cẩu,persona,advanced,Overly nice to attractive people
极端正义,極端正義,Extreme Righteous,Cực Đoan Chính Nghĩa,persona,advanced,Fanatical about justice
极端邪恶,極端邪惡,Extreme Evil,Cực Đoan Tà Ác,persona,advanced,Ruthless and cruel
心机深沉,心機深沉,Scheming,Tâm Cơ Thâm Trầm,persona,advanced,Calculating and secretive
忠诚,忠誠,Loyal,Trung Thành,persona,advanced,Never betrays
狠辣,狠辣,Ruthless,Tàn Độc,persona,advanced,Merciless
疑心重,疑心重,Suspicious,Đa Nghi,persona,advanced,Trusts no one
探险家,探險家,Explorer,Thám Hiểm Gia,persona,advanced,Loves discovering new places
死宅,死宅,Homebody,Trạch Tử,persona,advanced,Hates traveling
扫把星,掃把星,Jinxed,Sao Chổi,persona,advanced,Attracts misfortune
大器晚成,大器晚成,Late Bloomer,Đại Khí Vãn Thành,persona,advanced,Struggles early - thrives later
矿工,礦工,Miner,Khoáng Công,persona,advanced,Bonus to mining
苟,苟,Cautious,Cẩu,persona,advanced,Extremely risk-averse
穿越者,穿越者,Transmigrator,Xuyên Việt Giả,persona,legendary,From modern world
气运之子,氣運之子,Child of Destiny,Khí Vận Chi Tử,persona,legendary,Heaven's chosen one
重生者,重生者,Reborn,Trọng Sinh Giả,persona,legendary,Lived a previous life
福缘深厚,福緣深厚,Blessed,Phúc Duyên Thâm Hậu,persona,legendary,Natural good fortune
剑修,劍修,Sword Cultivator,Kiếm Tu,persona,weapon,Sword specialist
剑痴,劍痴,Sword Fanatic,Kiếm Si,persona,weapon,Obsessed with swords
刀修,刀修,Saber Cultivator,Đao Tu,persona,weapon,Saber specialist
刀痴,刀痴,Saber Fanatic,Đao Si,persona,weapon,Obsessed with sabers
枪修,槍修,Spear Cultivator,Thương Tu,persona,weapon,Spear specialist
枪痴,槍痴,Spear Fanatic,Thương Si,persona,weapon,Obsessed with spears
棍修,棍修,Staff Cultivator,Côn Tu,persona,weapon,Staff specialist
棍圣,棍聖,Staff Saint,Côn Thánh,persona,weapon,Staff master
扇修,扇修,Fan Cultivator,Phiến Tu,persona,weapon,Fan specialist
扇痴,扇痴,Fan Fanatic,Phiến Si,persona,weapon,Obsessed with fans
鞭修,鞭修,Whip Cultivator,Tiên Tu,persona,weapon,Whip specialist
鞭痴,鞭痴,Whip Fanatic,Tiên Si,persona,weapon,Obsessed with whips
暗器高手,暗器高手,Hidden Weapon Expert,Ám Khí Cao Thủ,persona,weapon,Hidden weapon specialist
刺客宗师,刺客宗師,Assassin Grandmaster,Thích Khách Tông Sư,persona,weapon,Master assassin
音律大师,音律大師,Music Master,Âm Luật Đại Sư,persona,weapon,Zither/flute specialist
炼丹师,煉丹師,Alchemist,Luyện Đan Sư,persona,profession,Elixir crafting bonus
炼器师,煉器師,Artificer,Luyện Khí Sư,persona,profession,Weapon crafting bonus
体修,體修,Body Cultivator,Thể Tu,persona,profession,Physical cultivation
道侣,道侶,Dao Companion,Đạo Lữ,relation,,Cultivation partner/spouse
师傅,師傅,Master,Sư Phụ,relation,,Teacher in cultivation
徒弟,徒弟,Disciple,Đồ Đệ,relation,,Student of a master
父母,父母,Parent,Cha Mẹ,relation,,
子女,子女,Child,Con Cái,relation,,
父亲,父親,Father,Cha,relation,,
母亲,母親,Mother,Mẹ,relation,,
儿子,兒子,Son,Con Trai,relation,,
女儿,女兒,Daughter,Con Gái,relation,,
兄弟姐妹,兄弟姐妹,Sibling,Anh Chị Em,relation,,
哥哥,哥哥,Elder Brother,Anh Trai,relation,,
弟弟,弟弟,Younger Brother,Em Trai,relation,,
姐姐,姐姐,Elder Sister,Chị Gái,relation,,
妹妹,妹妹,Younger Sister,Em Gái,relation,,
朋友,朋友,Friend,Bằng Hữu,relation,,
仇人,仇人,Enemy,Kẻ Thù,relation,,Also: Foe
亲属,親屬,Kin,Thân Tộc,relation,,Extended family
上品,上品,Superior Grade,Thượng Phẩm,grade,,Also: High-grade
中品,中品,Medium Grade,Trung Phẩm,grade,,Also: Mid-grade
下品,下品,Inferior Grade,Hạ Phẩm,grade,,Also: Low-grade
金刚不坏体,金剛不壞體,Indestructible Vajra Body,Kim Cang Bất Hoại Thể,technique,inferior,Metal - Shaolin technique
长春功,長春功,Eternal Spring Art,Trường Xuân Công,technique,inferior,Wood - Basic longevity technique
若水诀,若水訣,Flowing Water Scripture,Nhược Thủy Quyết,technique,inferior,Water - Soft and yielding
火灵诀,火靈訣,Fire Spirit Scripture,Hỏa Linh Quyết,technique,inferior,Fire - Basic fire technique
搬山诀,搬山訣,Mountain Moving Scripture,Bàn Sơn Quyết,technique,inferior,Earth - Strength technique
冰心诀,冰心訣,Ice Heart Scripture,Băng Tâm Quyết,technique,inferior,Ice - Calming technique
神行百变,神行百變,Divine Movement Hundred Changes,Thần Hành Bách Biến,technique,inferior,Wind - Movement technique
敛息术,斂息術,Breath Concealment Art,Liễm Tức Thuật,technique,inferior,Dark - Stealth technique
掌心雷,掌心雷,Palm Thunder,Chưởng Tâm Lôi,technique,inferior,Thunder - Daoist technique
燃血大法,燃血大法,Blood Burning Art,Nhiên Huyết Đại Pháp,technique,inferior,Evil - Temporary power boost
金钟罩,金鐘罩,Golden Bell Shield,Kim Chung Tráo,technique,medium,Metal - Defensive technique
青帝木皇功,青帝木皇功,Azure Emperor Wood Sovereign Art,Thanh Đế Mộc Hoàng Công,technique,medium,Wood - Wood element mastery
黑帝水皇拳,黑帝水皇拳,Black Emperor Water Sovereign Fist,Hắc Đế Thủy Hoàng Quyền,technique,medium,Water - Water element mastery
纯阳无极功,純陽無極功,Pure Yang Limitless Art,Thuần Dương Vô Cực Công,technique,medium,Fire - Yang-based technique
不动明王诀,不動明王訣,Immovable Wisdom King Scripture,Bất Động Minh Vương Quyết,technique,medium,Earth - Buddhist technique
玄冰劲,玄冰勁,Profound Ice Force,Huyền Băng Kình,technique,medium,Ice - Ice attack technique
梯云纵,梯雲縱,Cloud Ascending Steps,Thê Vân Túng,technique,medium,Wind - Wudang movement technique
